ID,CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,BPADH,DTDEM,age_2007,anciennete_adh_ans,MTREV_discrete,cible_churn
12918,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,42.743326488706366,2.642026009582478,0,0
12919,2,0,0,M,2,__MANQUANT__,10,10107,31/12/1900,65.16358658453115,2.642026009582478,0,0
12920,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12921,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12922,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12923,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12924,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12925,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12926,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12927,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12928,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12929,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12930,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12931,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12932,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12933,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12934,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12935,1,0,0,A,4,__MANQUANT__,61,10107,31/12/1900,,2.639288158795346,0,0
12936,2,893,0,M,0,__MANQUANT__,21,88881,31/12/1900,,2.639288158795346,0,0
12937,2,2600,0,C,0,__MANQUANT__,21,11307,31/12/1900,,2.6338124572210813,1,0
12938,2,0,0,C,2,__MANQUANT__,10,13607,31/12/1900,28.161533196440793,2.6338124572210813,0,0
12939,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.625598904859685,0,0
12940,4,0,0,C,0,__MANQUANT__,25,88882,31/12/1900,,2.625598904859685,0,0
12941,2,0,2,M,2,__MANQUANT__,10,10307,31/12/1900,45.987679671457904,2.625598904859685,0,0
12942,2,0,0,C,2,__MANQUANT__,10,18707,31/12/1900,,2.625598904859685,0,0
12943,4,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,,2.620123203285421,0,0
12944,4,0,0,A,0,DV,21,17607,27/07/2006,,2.620123203285421,0,1
12945,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.614647501711157,0,0
12946,2,1600,0,M,0,__MANQUANT__,21,88881,31/12/1900,62.55715263518138,2.614647501711157,0,0
12947,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,44.7419575633128,2.6064339493497606,0,0
12948,4,1641,1,U,2,__MANQUANT__,10,10107,31/12/1900,,2.6064339493497606,0,0
12949,2,0,1,M,2,__MANQUANT__,10,10107,31/12/1900,55.671457905544145,2.6036960985626285,0,0
12950,3,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,47.30732375085558,2.6009582477754964,0,0
12951,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,,2.6009582477754964,0,0
