ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
101,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.3095164848093865,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
102,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,1.3697085289634852,1.303662920213944,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
103,0,0.4690704492685181,-0.5506112457710796,2.8900264562993567,0.029671733274246336,0.024986065562365205,1.2958581674200211,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,4
104,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.09665108706103968,1.2916770498518482,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
105,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.6324462077701227,1.2599005563337333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
106,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.2292390275004643,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,4
107,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.178508134339965,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
108,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.1729333109157345,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,4
109,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.1729333109157345,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
110,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.1085441003658698,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4
111,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.0706353010811012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
112,0,1.8474695668177514,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,-0.6541116781590695,1.0500084544114474,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4
